sample,dataset,fastq_1,fastq_2
Barzadd06,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178676_SRR14860937_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178676_SRR14860937_2.fastq.gz
Barzadd07,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178677_SRR14860936_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178677_SRR14860936_2.fastq.gz
Barzadd08,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178678_SRR14860935_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178678_SRR14860935_2.fastq.gz
Barzadd09,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178679_SRR14860934_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178679_SRR14860934_2.fastq.gz
Barzadd10,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178680_SRR14860933_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178680_SRR14860933_2.fastq.gz
Barzadd11,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178681_SRR14860932_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178681_SRR14860932_2.fastq.gz
Barzadd12,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178682_SRR14860931_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178682_SRR14860931_2.fastq.gz
Barzadd13,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178683_SRR14860930_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178683_SRR14860930_2.fastq.gz
Barzadd14,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178684_SRR14860929_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178684_SRR14860929_2.fastq.gz
Barzadd15,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178685_SRR14860928_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178685_SRR14860928_2.fastq.gz
Barzadd16,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178686_SRR14860927_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178686_SRR14860927_2.fastq.gz
Barzadd17,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178687_SRR14860926_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178687_SRR14860926_2.fastq.gz
Barzadd18,Barzadd,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178688_SRR14860925_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX11178688_SRR14860925_2.fastq.gz
Wijk01,Wijk,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457795_SRR2968323_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457795_SRR2968323_2.fastq.gz
Wijk02,Wijk,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457796_SRR2968324_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457796_SRR2968324_2.fastq.gz
Wijk03,Wijk,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457797_SRR2968325_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457797_SRR2968325_2.fastq.gz
Wijk04,Wijk,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457798_SRR2968326_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457798_SRR2968326_2.fastq.gz
Wijk05,Wijk,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457799_SRR2968327_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457799_SRR2968327_2.fastq.gz
Wijk06,Wijk,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457800_SRR2968328_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1457800_SRR2968328_2.fastq.gz
Hefzi01,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570960_SRR3161757_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570960_SRR3161757_2.fastq.gz
